config,bd_0,bd_1,bd_2,bd_3,bd_4,bd_5,bd_6,qp_0,qp_1,qp_2,qp_3,qp_4,qp_5,qp_6
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,0,0,0,0,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,0,0,0,0,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,0,0,0,0,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,0,0,0,0,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,0,0,0,0,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,0,10,10,10,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,0,10,10,10,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,0,10,10,10,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,0,10,10,10,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,0,10,10,10,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,0,20,20,20,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,0,20,20,20,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,0,20,20,20,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,0,20,20,20,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,0,20,20,20,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,0,30,30,30,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,0,30,30,30,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,0,30,30,30,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,0,30,30,30,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,0,30,30,30,0,0
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,15,0,0,0,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,15,0,0,0,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,15,0,0,0,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,15,0,0,0,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,15,0,0,0,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,15,10,10,10,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,15,10,10,10,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,15,10,10,10,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,15,10,10,10,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,15,10,10,10,15,15
